,Gender,Pevious semester mark percentage,Number of Arrear papers, Using mobile phone for non-academic purposes,Interfere with your sleeping?,Before going to sleep/just after waking up ,Survive without mobilephone,Usage is more in ,Screening time,Distracted during class or while studying,Check phone during class,Use phone late at night (exam the next day),Unable to focus in class due to lack of sleep caused by phone usage,Headaches or eye strain as a result of excessive phone use,Anxiety,Depression,Sleep disturbances,Social isolation,Attention and concentration difficulties,Irritability and aggression,Impaired cognitive functioning ,Low self-esteem,Addiction,cluster
36,Male,50% - 70%,0,1 hour,Sometimes,Yes,Yes,Social media,Less than 1 hour,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
37,Male,50% - 70%,0,More than 4 hours,No,Yes,No,Social media,Less than 1 hour,Only when it is necessary,No,Yes,No,Yes,0,0,0,0,0,0,0,0,1,0
38,Male,70% - 90%,0,2 hours,No,No,No,Academic works,3-5 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
39,Female,70% - 90%,0,3 hours,No,Yes,No,Academic works,1-3 hours,Only when it is necessary,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0
40,Female,70% - 90%,0,2 hours,No,Yes,No,Academic works,Less than 1 hour,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
41,Female,Above 90%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Only when it is necessary,No,Yes,No,No,0,0,0,0,0,1,0,0,0,1
42,Male,50% - 70%,0,More than 4 hours,Yes,Yes,Yes,Gaming,More than 5 hours,Very often,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1,1
43,Male,70% - 90%,0,3 hours,No,Yes,Yes,Social media,Less than 1 hour,Very often,Yes,No,No,No,0,0,0,1,0,0,0,0,1,0
44,Male,50% - 70%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,1,0
45,Female,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,Yes,No,Yes,1,0,0,1,0,0,0,1,0,0
46,Female,70% - 90%,0,More than 4 hours,Sometimes,No,Yes,Social media,3-5 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
47,Male,Above 90%,0,1 hour,No,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,No,No,No,0,0,0,0,1,0,0,0,0,0
48,Male,70% - 90%,0,1 hour,No,Yes,Yes,Social media,Less than 1 hour,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
49,Male,70% - 90%,0,More than 4 hours,No,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,Yes,No,No,0,0,0,0,0,0,0,0,0,0
50,Male,70% - 90%,0,3 hours,No,Yes,No,Browsing,3-5 hours,Often,No,Yes,No,Yes,0,0,0,1,1,0,0,0,0,0
51,Male,50% - 70%,0,3 hours,Yes,Yes,Yes,Social media,Less than 1 hour,Only when it is necessary,No,Yes,Yes,No,0,0,0,0,0,0,0,0,0,1
52,Female,50% - 70%,0,3 hours,Yes,Yes,Yes,Social media,3-5 hours,Often,No,No,No,No,0,0,1,0,0,0,0,0,1,0
53,Male,50% - 70%,1,More than 4 hours,Sometimes,Yes,No,Social media,3-5 hours,Often,No,Yes,No,No,0,0,1,0,1,0,0,0,1,1
54,Male,Above 90%,0,More than 4 hours,Sometimes,Yes,No,Social media,Less than 1 hour,Very often,No,Yes,No,No,0,0,0,0,0,0,0,0,0,0
55,Male,Above 90%,0,2 hours,Sometimes,No,Yes,Basic purposes ( Calls ),Less than 1 hour,Only when it is necessary,No,No,No,Yes,0,0,0,0,1,0,0,0,1,0
56,Male,70% - 90%,0,3 hours,Yes,Yes,No,Social media,1-3 hours,Very often,Yes,Yes,Yes,Yes,0,0,1,0,0,0,0,0,1,1
57,Male,70% - 90%,0,2 hours,Yes,Yes,Yes,Social media,3-5 hours,Always,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1,1
58,Male,70% - 90%,0,3 hours,No,No,No,Browsing,More than 5 hours,Only when it is necessary,No,No,No,Yes,0,0,0,0,1,0,1,0,0,0
